X,Y,Z
3513.87,8406.54,4842.43
3482.49,8424.44,4846.93
3450.92,8442.21,4850.94
3419.15,8459.85,4854.45
3387.21,8477.36,4857.47
3355.08,8494.72,4859.99
3322.80,8511.93,4862.01
3290.35,8528.99,4863.52
3257.76,8545.89,4864.53
3225.03,8562.63,4865.04
3192.18,8579.21,4865.04
3159.20,8595.62,4864.53
3126.11,8611.85,4863.51
3092.92,8627.90,4861.99
3059.64,8643.77,4859.95
3026.28,8659.46,4857.40
2992.84,8674.95,4854.35
2959.34,8690.25,4850.79
2925.79,8705.34,4846.71
2892.19,8720.24,4842.13
2858.56,8734.93,4837.05
2824.90,8749.41,4831.45
2791.23,8763.67,4825.35
2757.55,8777.72,4818.75
2723.87,8791.54,4811.65
2690.21,8805.14,4804.05
2656.57,8818.52,4795.95
2622.96,8831.66,4787.36
2589.39,8844.58,4778.27
2555.87,8857.25,4768.69
2522.41,8869.69,4758.63
2489.03,8881.88,4748.08
2455.72,8893.83,4737.06
2422.49,8905.54,4725.55
2389.37,8917.00,4713.58
2356.35,8928.20,4701.13
2323.45,8939.16,4688.22
2290.67,8949.85,4674.85
2258.03,8960.30,4661.02
2225.52,8970.48,4646.74
2193.17,8980.40,4632.01
2160.98,8990.07,4616.84
2128.95,8999.47,4601.24
2097.10,9008.60,4585.20
2065.43,9017.47,4568.73
2033.96,9026.08,4551.84
2002.69,9034.42,4534.54
1971.63,9042.49,4516.83
1940.78,9050.29,4498.71
1910.15,9057.83,4480.20
1879.76,9065.10,4461.30
1849.61,9072.09,4442.01
1819.70,9078.82,4422.34
1790.05,9085.28,4402.30
1760.66,9091.48,4381.89
1731.53,9097.40,4361.12
1702.68,9103.05,4340.01
1674.11,9108.44,4318.54
1645.82,9113.57,4296.75
1617.83,9118.42,4274.61
1590.14,9123.01,4252.16
1562.75,9127.34,4229.39
1535.67,9131.41,4206.31
1508.91,9135.22,4182.93
1482.47,9138.76,4159.25
1456.36,9142.05,4135.29
1430.57,9145.08,4111.05
